,Date,URM,LRM,Distance,Year
,1996,92,68.5,23.5,1996
,1997,73.5,64.5,9.0,1997
,1998,84,78,6.0,1998
,1998,68.5,61.5,7.0,1998
,1999,84,78,6.0,1999
,1999,72,57.5,14.5,1999
,2001,84,74,10.0,2001
,2001,68.5,64.5,4.0,2001
,2002,98,74,24.0,2002
1,10/14/2002,80.8,74,6.8,2002
2,10/14/2002,76.6,74,2.6,2002
3,10/20/2002,82.9,74,8.9,2002
4,10/3/2002,78.3,74,4.3,2002
5,10/3/2002,78.2,74,4.2,2002
6,10/3/2002,76.6,74,2.6,2002
7,10/8/2002,79.9,74,5.9,2002
8,10/9/2002,79.6,74,5.6,2002
9,10/9/2002,79,74,5,2002
10,6/10/2002,79.6,74,5.6,2002
11,6/10/2002,79.4,74,5.4,2002
12,6/10/2002,76.6,74,2.6,2002
13,6/13/2002,64.1,57.5,6.6,2002
14,6/20/2002,82.2,74,8.2,2002
15,6/20/2002,76.6,74,2.6,2002
16,6/20/2002,74.6,74,0.6,2002
17,6/21/2002,84.9,74,10.9,2002
18,6/25/2002,64.1,57.5,6.6,2002
19,6/26/2002,91.9,74,17.9,2002
20,6/26/2002,91.7,74,17.7,2002
21,6/26/2002,86.7,74,12.7,2002
22,6/26/2002,86.3,74,12.3,2002
23,6/27/2002,85.1,74,11.1,2002
24,6/27/2002,84.1,74,10.1,2002
25,6/28/2002,84.7,74,10.7,2002
26,6/29/2002,92.4,74,18.4,2002
27,6/29/2002,92,74,18,2002
28,6/29/2002,90.6,74,16.6,2002
29,6/29/2002,84.7,74,10.7,2002
30,6/30/2002,85.1,74,11.1,2002
31,6/6/2002,84.1,74,10.1,2002
32,6/6/2002,83.1,74,9.1,2002
33,6/6/2002,82.9,74,8.9,2002
34,6/6/2002,81.8,74,7.8,2002
35,6/6/2002,81.8,74,7.8,2002
36,6/9/2002,76.6,74,2.6,2002
37,7/1/2002,94,74,20,2002
38,7/1/2002,94,74,20,2002
39,7/1/2002,85.8,74,11.8,2002
40,7/10/2002,94.7,74,20.7,2002
41,7/10/2002,94,74,20,2002
42,7/10/2002,86.7,74,12.7,2002
43,7/11/2002,94,74,20,2002
44,7/11/2002,86.8,74,12.8,2002
45,7/12/2002,95.1,74,21.1,2002
46,7/12/2002,95.1,74,21.1,2002
47,7/12/2002,94,74,20,2002
48,7/12/2002,87.1,74,13.1,2002
49,7/15/2002,94,74,20,2002
50,7/15/2002,87.1,74,13.1,2002
51,7/15/2002,85.1,74,11.1,2002
52,7/16/2002,93.1,74,19.1,2002
53,7/18/2002,93.1,74,19.1,2002
54,7/18/2002,92,74,18,2002
55,7/18/2002,86.7,74,12.7,2002
56,7/19/2002,91.9,74,17.9,2002
57,7/19/2002,87.1,74,13.1,2002
58,7/2/2002,94,74,20,2002
59,7/2/2002,94,74,20,2002
60,7/2/2002,94,74,20,2002
61,7/2/2002,93.9,74,19.9,2002
62,7/3/2002,94.6,74,20.6,2002
63,7/3/2002,94,74,20,2002
64,7/4/2002,94,74,20,2002
65,7/5/2002,86.4,74,12.4,2002
66,7/5/2002,85.1,74,11.1,2002
67,7/6/2002,92.5,74,18.5,2002
68,7/8/2002,93.3,74,19.3,2002
69,7/8/2002,86.4,74,12.4,2002
70,7/9/2002,93.3,74,19.3,2002
71,7/9/2002,86.3,74,12.3,2002
72,8/18/2002,91,74,17,2002
73,8/18/2002,90.6,74,16.6,2002
74,8/19/2002,76.3,74,2.3,2002
75,8/20/2002,116.1,74,42.1,2002
76,8/20/2002,71,57.5,13.5,2002
77,8/20/2002,68.6,57.5,11.1,2002
78,8/25/2002,76.6,74,2.6,2002
79,9/11/2002,93.2,74,19.2,2002
80,9/30/2002,79.9,74,5.9,2002
81,9/30/2002,79.4,74,5.4,2002
82,9/30/2002,76.6,74,2.6,2002
83,10/2/2003,127.6,116.2,11.4,2003
84,10/2/2003,87.1,74,13.1,2003
85,10/29/2003,97.2,74,23.2,2003
86,10/30/2003,92.6,74,18.6,2003
87,8/11/2003,71.8,57.5,14.3,2003
88,8/11/2003,58.5,57.5,1,2003
89,8/12/2003,61.2,57.5,3.7,2003
90,8/12/2003,58.5,57.5,1,2003
91,8/16/2003,61.2,57.5,3.7,2003
92,8/16/2003,58.5,57.5,1,2003
93,8/5/2003,68.7,57.5,11.2,2003
94,8/5/2003,64,57.5,6.5,2003
95,9/20/2003,94,74,20,2003
96,9/21/2003,94,74,20,2003
97,9/21/2003,87.1,74,13.1,2003
98,9/6/2003,107.7,74,33.7,2003
99,9/6/2003,102.4,74,28.4,2003
100,9/9/2003,118.9,116.2,2.7,2003
101,10/1/2004,109.1,74,35.1,2004
102,10/1/2004,100.1,74,26.1,2004
103,10/2/2004,109.1,74,35.1,2004
104,10/2/2004,100.1,74,26.1,2004
105,10/3/2004,104.5,74,30.5,2004
106,10/3/2004,100.1,74,26.1,2004
107,10/4/2004,97.4,74,23.4,2004
108,10/5/2004,94.8,74,20.8,2004
109,10/6/2004,104.5,74,30.5,2004
110,10/6/2004,76.3,74,2.3,2004
111,6/16/2004,75.6,74,1.6,2004
112,6/17/2004,80,74,6,2004
113,6/19/2004,84.3,74,10.3,2004
114,6/21/2004,89.8,74,15.8,2004
115,6/22/2004,90,74,16,2004
116,6/23/2004,90,74,16,2004
117,6/24/2004,154.9,152.5,2.4,2004
118,6/24/2004,92.3,74,18.3,2004
119,6/26/2004,154.9,152.5,2.4,2004
120,6/26/2004,93.9,74,19.9,2004
121,6/27/2004,94.2,74,20.2,2004
122,6/28/2004,156.5,152.5,4,2004
123,6/28/2004,94.4,74,20.4,2004
124,6/29/2004,87.9,74,13.9,2004
125,7/1/2004,83.6,74,9.6,2004
126,7/1/2004,79.4,74,5.4,2004
127,7/10/2004,95.7,74,21.7,2004
128,7/11/2004,162.5,152.5,10,2004
129,7/12/2004,163.6,152.5,11.1,2004
130,7/13/2004,163.4,152.5,10.9,2004
131,7/14/2004,162.7,152.5,10.2,2004
132,7/14/2004,157.3,152.5,4.8,2004
133,7/15/2004,164,152.5,11.5,2004
134,7/16/2004,164.3,152.5,11.8,2004
135,7/17/2004,136.3,132,4.3,2004
136,7/17/2004,100.1,74,26.1,2004
137,7/18/2004,135.7,132,3.7,2004
138,7/18/2004,132.2,132,0.2,2004
139,7/18/2004,99,74,25,2004
140,7/19/2004,164.3,152.5,11.8,2004
141,7/20/2004,164.5,152.5,12,2004
142,7/20/2004,99.5,74,25.5,2004
143,7/21/2004,99.8,74,25.8,2004
144,7/21/2004,99.5,74,25.5,2004
145,7/22/2004,135.3,132,3.3,2004
146,7/22/2004,99.5,74,25.5,2004
147,7/23/2004,135.8,132,3.8,2004
148,7/31/2004,160.8,152.5,8.3,2004
149,7/5/2004,154.5,152.5,2,2004
150,7/6/2004,155.4,152.5,2.9,2004
151,7/7/2004,155.5,152.5,3,2004
152,7/8/2004,159.8,152.5,7.3,2004
153,8/10/2004,164.3,152.5,11.8,2004
154,8/10/2004,90.9,74,16.9,2004
155,8/11/2004,116.2,74,42.2,2004
156,8/11/2004,96.2,74,22.2,2004
157,8/11/2004,85.1,74,11.1,2004
158,8/11/2004,80.4,74,6.4,2004
159,8/12/2004,88.1,74,14.1,2004
160,8/13/2004,164.6,152.5,12.1,2004
161,8/13/2004,99.5,74,25.5,2004
162,8/13/2004,81.6,74,7.6,2004
163,8/14/2004,164.9,152.5,12.4,2004
164,8/14/2004,99,74,25,2004
165,8/15/2004,164.8,152.5,12.3,2004
166,8/15/2004,116.2,74,42.2,2004
167,8/15/2004,99.8,74,25.8,2004
168,8/16/2004,134.3,132,2.3,2004
169,8/16/2004,133.4,132,1.4,2004
170,8/16/2004,127.6,116.2,11.4,2004
171,8/16/2004,96.8,74,22.8,2004
172,8/2/2004,164,152.5,11.5,2004
173,8/2/2004,161.4,152.5,8.9,2004
174,8/22/2004,164.9,152.5,12.4,2004
175,8/23/2004,167.4,152.5,14.9,2004
176,8/23/2004,167.3,152.5,14.8,2004
177,8/23/2004,165.1,152.5,12.6,2004
178,8/24/2004,166.5,152.5,14,2004
179,8/24/2004,165.1,152.5,12.6,2004
180,8/25/2004,167.3,152.5,14.8,2004
181,8/25/2004,166.5,152.5,14,2004
182,8/25/2004,165.1,152.5,12.6,2004
183,8/27/2004,167.3,152.5,14.8,2004
184,8/27/2004,140.8,132,8.8,2004
185,8/28/2004,135.4,132,3.4,2004
186,8/29/2004,166.8,152.5,14.3,2004
187,8/3/2004,81.4,74,7.4,2004
188,8/4/2004,155.9,152.5,3.4,2004
189,8/5/2004,155.9,152.5,3.4,2004
190,8/6/2004,155.9,152.5,3.4,2004
191,8/7/2004,162.9,152.5,10.4,2004
192,8/8/2004,163.9,152.5,11.4,2004
193,8/8/2004,163.6,152.5,11.1,2004
194,8/9/2004,164.3,152.5,11.8,2004
195,8/9/2004,164,152.5,11.5,2004
196,9/1/2004,104.5,74,30.5,2004
197,9/10/2004,110.1,74,36.1,2004
198,9/10/2004,110.1,74,36.1,2004
199,9/11/2004,109.5,74,35.5,2004
200,9/11/2004,98.5,74,24.5,2004
201,9/12/2004,99.1,74,25.1,2004
202,9/12/2004,99.1,74,25.1,2004
203,9/13/2004,109.1,74,35.1,2004
204,9/13/2004,99.5,74,25.5,2004
205,9/14/2004,109.1,74,35.1,2004
206,9/14/2004,99.5,74,25.5,2004
207,9/15/2004,109.8,74,35.8,2004
208,9/15/2004,99.5,74,25.5,2004
209,9/15/2004,99.5,74,25.5,2004
210,9/16/2004,137,132,5,2004
211,9/16/2004,109.8,74,35.8,2004
212,9/17/2004,110,74,36,2004
213,9/17/2004,99.8,74,25.8,2004
214,9/18/2004,110,74,36,2004
215,9/18/2004,99.8,74,25.8,2004
216,9/19/2004,109.1,74,35.1,2004
217,9/19/2004,99.8,74,25.8,2004
218,9/20/2004,109.1,74,35.1,2004
219,9/20/2004,99.8,74,25.8,2004
220,9/21/2004,109.1,74,35.1,2004
221,9/21/2004,99.8,74,25.8,2004
222,9/22/2004,163.8,152.5,11.3,2004
223,9/22/2004,108.9,74,34.9,2004
224,9/22/2004,99.8,74,25.8,2004
225,9/23/2004,164.3,152.5,11.8,2004
226,9/23/2004,108.9,74,34.9,2004
227,9/23/2004,99.8,74,25.8,2004
228,9/24/2004,164.5,152.5,12,2004
229,9/24/2004,108.9,74,34.9,2004
230,9/24/2004,99.8,74,25.8,2004
231,9/25/2004,108.2,74,34.2,2004
232,9/25/2004,99.8,74,25.8,2004
233,9/26/2004,164.9,152.5,12.4,2004
234,9/26/2004,108.2,74,34.2,2004
235,9/26/2004,99.8,74,25.8,2004
236,9/27/2004,107.6,74,33.6,2004
237,9/27/2004,99.8,74,25.8,2004
238,9/29/2004,99.8,74,25.8,2004
239,9/3/2004,105.8,74,31.8,2004
240,9/3/2004,100.1,74,26.1,2004
241,9/30/2004,107.6,74,33.6,2004
242,9/30/2004,99.8,74,25.8,2004
243,9/7/2004,135.4,132,3.4,2004
244,9/7/2004,106.2,74,32.2,2004
245,9/7/2004,99,74,25,2004
246,9/8/2004,163.6,152.5,11.1,2004
247,9/8/2004,161.4,152.5,8.9,2004
248,9/8/2004,98.9,74,24.9,2004
249,9/9/2004,108.9,74,34.9,2004
250,9/9/2004,98.5,74,24.5,2004
251,10/30/2005,58.6,57.5,1.1,2005
252,10/31/2005,72.5,57.5,15,2005
253,7/23/2005,72.2,57.5,14.7,2005
254,7/24/2005,76.2,74,2.2,2005
255,7/26/2005,77.5,74,3.5,2005
256,7/26/2005,72,57.5,14.5,2005
257,7/27/2005,77.5,74,3.5,2005
258,7/28/2005,81.6,74,7.6,2005
259,7/29/2005,84.4,74,10.4,2005
260,7/29/2005,83.2,74,9.2,2005
261,7/30/2005,85.8,74,11.8,2005
262,7/31/2005,84.8,74,10.8,2005
263,8/1/2005,84.8,74,10.8,2005
264,8/1/2005,65,57.5,7.5,2005
265,8/1/2005,65,57.5,7.5,2005
266,8/1/2005,64.6,57.5,7.1,2005
267,8/1/2005,64,57.5,6.5,2005
268,8/10/2005,92.6,74,18.6,2005
269,8/10/2005,84.8,74,10.8,2005
270,8/11/2005,92.1,74,18.1,2005
271,8/13/2005,75.8,74,1.8,2005
272,8/14/2005,72.6,57.5,15.1,2005
273,8/15/2005,69.5,57.5,12,2005
274,8/16/2005,67.8,57.5,10.3,2005
275,8/2/2005,91,74,17,2005
276,8/2/2005,64.9,57.5,7.4,2005
277,8/24/2005,72.1,57.5,14.6,2005
278,8/24/2005,71.8,57.5,14.3,2005
279,8/27/2005,155.3,152.5,2.8,2005
280,8/27/2005,86.1,74,12.1,2005
281,8/28/2005,155.9,152.5,3.4,2005
282,8/28/2005,83,74,9,2005
283,8/29/2005,83,74,9,2005
284,8/29/2005,82.9,74,8.9,2005
285,8/3/2005,91.4,74,17.4,2005
286,8/3/2005,85.1,74,11.1,2005
287,8/3/2005,83.2,74,9.2,2005
288,8/3/2005,64.8,57.5,7.3,2005
289,8/30/2005,82.1,74,8.1,2005
290,8/31/2005,81.9,74,7.9,2005
291,8/4/2005,91.6,74,17.6,2005
292,8/4/2005,85.3,74,11.3,2005
293,8/5/2005,92.7,74,18.7,2005
294,8/6/2005,85.1,74,11.1,2005
295,8/7/2005,92.4,74,18.4,2005
296,8/8/2005,91.1,74,17.1,2005
297,8/9/2005,92.3,74,18.3,2005
298,8/9/2005,92,74,18,2005
299,9/1/2005,81.9,74,7.9,2005
300,9/14/2005,80,74,6,2005
301,9/15/2005,90.6,74,16.6,2005
302,9/15/2005,85.1,74,11.1,2005
303,9/16/2005,90,74,16,2005
304,9/16/2005,87.7,74,13.7,2005
305,9/16/2005,84.2,74,10.2,2005
306,9/17/2005,90.9,74,16.9,2005
307,9/17/2005,85.1,74,11.1,2005
308,9/18/2005,91.1,74,17.1,2005
309,9/18/2005,84.6,74,10.6,2005
310,9/19/2005,90.9,74,16.9,2005
311,9/19/2005,84.4,74,10.4,2005
312,9/2/2005,81.9,74,7.9,2005
313,9/20/2005,91.2,74,17.2,2005
314,9/20/2005,84.3,74,10.3,2005
315,9/21/2005,93.5,74,19.5,2005
316,9/23/2005,84.6,74,10.6,2005
317,9/24/2005,152.5,152.5,0,2005
318,9/24/2005,94.5,74,20.5,2005
319,9/24/2005,84.4,74,10.4,2005
320,9/26/2005,94.4,74,20.4,2005
321,9/26/2005,84.3,74,10.3,2005
322,9/27/2005,94.6,74,20.6,2005
323,9/27/2005,84.3,74,10.3,2005
324,9/27/2005,68.6,57.5,11.1,2005
325,9/28/2005,95.9,74,21.9,2005
326,9/28/2005,84.3,74,10.3,2005
327,9/29/2005,94.9,74,20.9,2005
328,9/29/2005,84.2,74,10.2,2005
329,9/29/2005,73.9,57.5,16.4,2005
330,9/29/2005,68.6,57.5,11.1,2005
331,9/3/2005,82.9,74,8.9,2005
332,9/30/2005,72.1,57.5,14.6,2005
333,10/1/2006,88.3,74,14.3,2006
334,10/1/2006,87.2,74,13.2,2006
335,10/4/2006,86.3,74,12.3,2006
336,10/5/2006,156.2,152.5,3.7,2006
337,10/5/2006,88.5,74,14.5,2006
338,10/6/2006,156.7,152.5,4.2,2006
339,10/6/2006,88.9,74,14.9,2006
340,10/7/2006,90,74,16,2006
341,10/8/2006,89.8,74,15.8,2006
342,5/22/2006,78.4,74,4.4,2006
343,5/22/2006,77.7,74,3.7,2006
344,5/22/2006,77.7,74,3.7,2006
345,5/23/2006,78.3,74,4.3,2006
346,5/24/2006,76.6,74,2.6,2006
347,5/25/2006,74.6,74,0.6,2006
348,5/26/2006,74.5,74,0.5,2006
349,5/27/2006,74.8,74,0.8,2006
350,5/27/2006,74.4,74,0.4,2006
351,6/15/2006,75.6,74,1.6,2006
352,6/16/2006,76.8,74,2.8,2006
353,6/16/2006,76,74,2,2006
354,6/16/2006,75.3,74,1.3,2006
355,6/16/2006,74.7,74,0.7,2006
356,6/17/2006,81.4,74,7.4,2006
357,6/17/2006,80.7,74,6.7,2006
358,6/17/2006,79.8,74,5.8,2006
359,6/18/2006,81.8,74,7.8,2006
360,6/18/2006,80,74,6,2006
361,6/19/2006,81.4,74,7.4,2006
362,6/19/2006,80.6,74,6.6,2006
363,6/19/2006,79.9,74,5.9,2006
364,6/20/2006,82.1,74,8.1,2006
365,6/20/2006,81.4,74,7.4,2006
366,6/21/2006,81.6,74,7.6,2006
367,6/22/2006,83,74,9,2006
368,6/23/2006,84,74,10,2006
369,6/24/2006,85.7,74,11.7,2006
370,6/25/2006,88.1,74,14.1,2006
371,6/26/2006,89.6,74,15.6,2006
372,7/20/2006,159.5,152.5,7,2006
373,7/20/2006,77.2,74,3.2,2006
374,7/23/2006,87.1,74,13.1,2006
375,7/24/2006,84.2,74,10.2,2006
376,7/25/2006,86.9,74,12.9,2006
377,7/25/2006,84.4,74,10.4,2006
378,7/26/2006,92.3,74,18.3,2006
379,7/27/2006,84.3,74,10.3,2006
380,7/6/2006,80,74,6,2006
381,9/19/2006,75.8,74,1.8,2006
382,9/21/2006,83.3,74,9.3,2006
383,9/22/2006,81,74,7,2006
384,9/23/2006,80.5,74,6.5,2006
385,9/24/2006,80.3,74,6.3,2006
386,9/25/2006,80.5,74,6.5,2006
387,9/26/2006,154.9,152.5,2.4,2006
388,9/27/2006,154.9,152.5,2.4,2006
389,9/27/2006,74.5,74,0.5,2006
390,9/28/2006,154,152.5,1.5,2006
391,9/28/2006,78.8,74,4.8,2006
392,9/29/2006,154,152.5,1.5,2006
393,9/30/2006,83.2,74,9.2,2006
394,10/10/2007,81,74,7,2007
395,10/10/2007,155.5,152.5,3,2007
396,10/11/2007,155.5,152.5,3,2007
397,10/12/2007,155.5,152.5,3,2007
398,10/13/2007,155.5,152.5,3,2007
399,10/14/2007,155,152.5,2.5,2007
400,10/15/2007,155,152.5,2.5,2007
401,10/16/2007,155,152.5,2.5,2007
402,10/17/2007,155.5,152.5,3,2007
403,10/18/2007,155,152.5,2.5,2007
404,10/19/2007,157,152.5,4.5,2007
405,10/20/2007,158,152.5,5.5,2007
406,10/21/2007,159,152.5,6.5,2007
407,10/22/2007,160,152.5,7.5,2007
408,10/23/2007,160,152.5,7.5,2007
409,10/24/2007,157,152.5,4.5,2007
410,10/25/2007,159,152.5,6.5,2007
411,10/26/2007,159.5,152.5,7,2007
412,10/27/2007,159,152.5,6.5,2007
413,10/28/2007,159,152.5,6.5,2007
414,10/29/2007,158.5,152,6.5,2007
415,10/3/2007,82.5,74,8.5,2007
416,10/30/2007,158.5,152.5,6,2007
417,10/31/2007,160,152.5,7.5,2007
418,10/4/2007,78.5,74,4.5,2007
419,10/5/2007,156,152.5,3.5,2007
420,10/6/2007,82,74,8,2007
421,10/6/2007,155.5,152.5,3,2007
422,10/9/2007,82,74,8,2007
423,10/9/2007,155.5,152.5,3,2007
424,6/30/2007,76.5,74,2.5,2007
425,7/1/2007,76.5,74,2.5,2007
426,7/14/2007,88.5,74,14.5,2007
427,7/15/2007,90,74,16,2007
428,7/16/2007,90,74,16,2007
429,7/17/2007,90,74,16,2007
430,7/18/2007,91.5,74,17.5,2007
431,7/19/2007,93,74,19,2007
432,7/2/2007,84.5,74,10.5,2007
433,7/20/2007,95,74,21,2007
434,7/23/2007,98,74,24,2007
435,7/24/2007,96,74,22,2007
436,7/25/2007,83.5,74,9.5,2007
437,7/3/2007,84.5,74,10.5,2007
438,7/4/2007,88,74,14,2007
439,7/5/2007,85.5,74,11.5,2007
440,7/6/2007,84,74,10,2007
441,7/7/2007,74,74,0,2007
442,7/9/2007,159.1,152.5,6.6,2007
443,8/12/2007,154,152.5,1.5,2007
444,8/13/2007,153,152.5,0.5,2007
445,8/14/2007,154,152.5,1.5,2007
446,8/15/2007,155.5,152.5,3,2007
447,8/16/2007,158.5,152.5,6,2007
448,8/17/2007,96.5,90.5,6,2007
449,8/17/2007,158,152.5,5.5,2007
450,8/18/2007,91,90.5,0.5,2007
451,8/18/2007,152.5,152.5,0,2007
452,8/19/2007,89,84,5,2007
453,8/19/2007,161,152.5,8.5,2007
454,8/2/2007,78,74,4,2007
455,8/20/2007,80,74,6,2007
456,8/20/2007,89,84,5,2007
457,8/20/2007,161,152.5,8.5,2007
458,8/21/2007,89.5,74,15.5,2007
459,8/21/2007,152.5,152.5,0,2007
460,8/22/2007,89.5,74,15.5,2007
461,8/22/2007,152.5,152.5,0,2007
462,8/23/2007,90.5,74,16.5,2007
463,8/23/2007,152.5,152.5,0,2007
464,8/24/2007,90.5,74,16.5,2007
465,8/24/2007,158.5,152.5,6,2007
466,8/25/2007,92,74,18,2007
467,8/25/2007,153,152.5,0.5,2007
468,8/26/2007,85.5,76.5,9,2007
469,8/27/2007,86,76.5,9.5,2007
470,8/27/2007,158.5,152.5,6,2007
471,8/28/2007,157,152.5,4.5,2007
472,8/29/2007,91,74,17,2007
473,8/29/2007,152.5,152.5,0,2007
474,8/30/2007,152.5,152.5,0,2007
475,8/31/2007,158.5,152.5,6,2007
476,9/1/2007,155,152.5,2.5,2007
477,9/10/2007,161,152.5,8.5,2007
478,9/11/2007,152.5,152.5,0,2007
479,9/12/2007,152.5,152.5,0,2007
480,9/13/2007,152.5,152.5,0,2007
481,9/14/2007,152.5,152.5,0,2007
482,9/15/2007,152.5,152.5,0,2007
483,9/16/2007,152.5,152.5,0,2007
484,9/17/2007,152.5,152.5,0,2007
485,9/18/2007,161,152.5,8.5,2007
486,9/19/2007,152.5,152.5,0,2007
487,9/2/2007,153,152.5,0.5,2007
488,9/20/2007,90.5,74,16.5,2007
489,9/20/2007,152.5,152.5,0,2007
490,9/29/2007,159.5,152.5,7,2007
491,9/30/2007,160,152.5,7.5,2007
492,9/6/2007,159,152.5,6.5,2007
